Centre de rech. sur l'environnement alpin - CREALP,"Sion, VS, CH",46.22739,7.35559
Forschungskommission SAGW,"Bern / Marzili, BE, CH",46.94464,7.44504
Institut für Kulturforschung Graubünden - IKG,"Chur, GR, CH",46.84986,9.53287
Pädagogische Hochschule Bern - PHBern,"Bern / Engehalde, BE, CH",46.9601,7.43843
Universität St. Gallen - SG,"St. Gallen, SG, CH",47.42391,9.37477
Schweiz. Hochschule für Logopädie Rorschach - SHLR,"Rorschach, SG, CH",47.478,9.4903
Biotechnologie Institut Thurgau - BITG,"Emmishofen, TG, CH",47.64978,9.16247
Universität Basel - BS,"Grossbasel, BS, CH",47.55602,7.58906
Forschungsanstalten Agroscope - AGS,"Wädenswil / Leihof-Mühlebach, ZH, CH",47.22364,8.67149
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,"Zürich (Kreis 8) / Mühlebach, ZH, CH",47.35727,8.55744
Paul Scherrer Institut - PSI,"Beznau, AG, CH",47.55324,8.2291
Facoltà di Teologia di Lugano - FTL,"Lugano, TI, CH",46.01008,8.96004
Forschungsinstitut für biologischen Landbau - FIBL,"Frick, AG, CH",47.51169,8.02471
Universität Zürich - ZH,"Zürich (Kreis 1) / Rathaus, ZH, CH",47.37161,8.54501
Nicht zuteilbar - NA,"Lucerne, LU, CH",47.05048,8.30635
Swiss Center for Electronics and Microtech. - CSEM,"Monruz, NE, CH",47.00498,6.95982
Pädagogische Hochschule Zürich - PHZFH,"Zürich (Kreis 4) / Langstrasse, ZH, CH",47.37767,8.52854
Interkant. Hochschule für Heilpädagogik ZH - HfH,"Zürich (Kreis 11) / Oerlikon, ZH, CH",47.40823,8.54258
Franklin University Switzerland - FUS,"Sorengo, TI, CH",45.99766,8.93783
Università della Svizzera italiana - USI,"Lugano, TI, CH",46.01008,8.96004
Allergie- und Asthmaforschung - SIAF,"Davos Platz, GR, CH",46.79608,9.81756
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL","Birmensdorf / Sternen, ZH, CH",47.35876,8.45613
Pädagogische Hochschule Zug - PHZG,"Zug, ZG, CH",47.17242,8.51745
Pädagogische Hochschule Wallis - PHVS,"Saint-Maurice, VS, CH",46.21826,7.0032
Forschungsinstitut für Opthalmologie - IRO,"Bramois, VS, CH",46.23244,7.40067
AO Research Institute - AORI,"Clavadel, GR, CH",46.76877,9.81519
Idiap Research Institute - IDIAP,"Martigny-Ville, VS, CH",46.10276,7.07245
Swiss Institute of Bioinformatics - SIB,"Sarnen, OW, CH",46.89611,8.24531
Zürcher Fachhochschule (ohne PH) - ZFH,"Zürich (Kreis 4) / Langstrasse, ZH, CH",47.37767,8.52854
Eidg. Material und Prüfungsanstalt - EMPA,"Dübendorf / EMPA-EAWAG, ZH, CH",47.40311,8.61246
Universität Luzern - LU,"Lucerne, LU, CH",47.05048,8.30635
Fachhochschule Ostschweiz - FHO,"St. Gallen, SG, CH",47.42391,9.37477
Inst. Suisse de Spéléologie et Karstologie - ISSKA,"La Chaux-de-Fonds, NE, CH",47.09993,6.82586
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,"Betten, VS, CH",46.37708,8.06963
Eidg. Anstalt für Wasserversorgung - EAWAG,"Kastanienbaum, LU, CH",47.00822,8.34001
Robert Walser-Stiftung Bern - RWS,"Bern, BE, CH",46.94809,7.44744
ETH Zürich - ETHZ,"Zürich (Kreis 1) / Rathaus, ZH, CH",47.37161,8.54501
SUP della Svizzera italiana - SUPSI,"Bosciorina, TI, CH",46.02621,8.91626
Pädagogische Hochschule St. Gallen - PHSG,"Sankt Fiden, SG, CH",47.43122,9.38833
EPF Lausanne - EPFL,"Saint-Sulpice, VD, CH",46.51047,6.55897
Pädagogische Hochschule Graubünden - PHGR,"Masans, GR, CH",46.86979,9.53416
