playerShort,club,leagueCountry,birthday,position,yellowCards,redCards,victories,goals,meanIAT_yellowCards,meanIAT_redCards,meanExp_yellowReds,games,meanExp_redCards,ties,meanExp_yellowCards,height,defeats,meanIAT_yellowReds,weight,skin_color
aaron-hughes,Fulham FC,England,3598.0,Center Back,19,0,247,9,-0.03461772606908432,-0.0014198834478344423,-0.0016148835754261704,654,-0.0017072854300413727,179,-0.040843171277577126,182.0,228,-0.001343036388983743,71.0,0.125
aaron-hunt,Werder Bremen,Germany,6090.0,Attacking Midfielder,42,1,141,62,-0.002752930813375746,-0.00045314117493466956,-0.0015349690349033562,336,-0.0006228968022949918,73,-0.0023656746730082684,183.0,122,-0.001376262487120189,73.0,0.125
aaron-lennon,Tottenham Hotspur,England,6314.0,Right Midfielder,11,0,200,31,-0.0354631870782444,-0.0014164526843967616,-0.0016101341309922976,412,-0.0017022642276425537,97,-0.042533962255980426,165.0,115,-0.0013397913056314248,63.0,0.25
aaron-ramsey,Arsenal FC,England,7664.0,Center Midfielder,31,1,150,39,-0.0046540271445159286,-0.0001473120832736117,-0.0017465159548086643,260,-0.0005537536567313821,42,-0.006585768086646904,178.0,68,-0.00135691656909457,76.0,0.0
abdelhamid-el-kaoutari,Montpellier HSC,France,7380.0,Center Back,8,2,41,1,-0.022667057456021676,0.00398383628813751,0.010399954063871512,124,0.004019423103911292,40,-0.022177226552176247,180.0,43,0.009605573380273751,73.0,0.25
abdou-traore_2,Girondins Bordeaux,France,6590.0,Right Midfielder,11,0,41,3,-0.00550545376303982,-0.001397684414207542,0.0021862023775099746,97,-0.0013519250116196598,23,-0.0013836081813560323,180.0,33,0.002128310628255802,74.0,0.75
abdoulaye-diallo_2,Stade Rennes,France,8124.0,Goalkeeper,0,0,8,0,-0.045816387090840766,-0.0014640384315833645,-0.00172626735355227,24,-0.0018250424649331719,8,-0.057113836786489514,189.0,8,-0.001384801612756323,80.0,0.875
abdoulaye-keita_2,Girondins Bordeaux,France,7535.0,Goalkeeper,0,0,0,0,-0.04647547725967472,-0.0014850993095425647,-0.0015727484241261902,3,-0.0016627393519205033,1,-0.05203463798171861,188.0,2,-0.0014047226319965228,83.0,0.875
abdoulwhaid-sissoko,Stade Brest,France,7383.0,Defensive Midfielder,21,2,34,3,0.014229624535751072,0.004065480741721125,-0.0016216429847271618,121,0.0038409562151389643,25,0.019269121020579098,180.0,62,-0.0013871152748311391,68.0,1.0
abdul-rahman-baba,SpVgg Greuther Fürth,Germany,8948.0,Left Fullback,3,1,17,0,-0.02510882060619207,0.005284817662539373,-0.0013760922025369388,50,0.0052645071694756174,8,-0.02537022129001679,179.0,25,-0.0013693905740991262,70.0,0.875
abdul-razak,Manchester City,England,8350.0,Center Midfielder,2,0,16,0,-0.02683973451810665,-0.001501055789115107,-0.0021016974950168604,36,-0.0022219543044456357,8,-0.025946869908906378,180.0,12,-0.0014198155135556998,78.0,1.0
abel-aguilar,Deportivo La Coruña,Spain,5484.0,Defensive Midfielder,70,2,93,25,0.05615785629924024,0.0013701628236027382,0.00537047277867421,246,0.0028885910035922275,61,0.08683937236826351,185.0,92,0.0031646358200395773,78.0,0.375
