club,leagueCountry,birthday,position,redCards,meanIAT_redCards,ties,meanExp_yellowReds,yellowCards,meanIAT_yellowCards,meanExp_redCards,skin_color,height,meanExp_yellowCards,victories,meanIAT_yellowReds,defeats,games,goals,weight
0,0,3598.0,0,0,-0.0014198834478344425,179,-0.0016148835754261706,19,-0.034617726069084316,-0.020220292405786454,0,182.0,-0.040843171277577126,247,-0.001343036388983743,228,654,9,71.0
1,1,6090.0,1,1,-0.0004531411749346696,73,-0.0015349690349033562,42,-0.002752930813375746,2.853848611703277e-05,0,183.0,-0.0023656746730082684,141,-0.001376262487120189,122,336,62,73.0
2,0,6314.0,2,0,-0.0014164526843967616,97,-0.0016101341309922976,11,-0.0354631870782444,-0.02046431009339957,0,165.0,-0.042533962255980426,200,-0.0013397913056314248,115,412,31,63.0
3,0,7664.0,3,1,-0.0001473120832736117,42,-0.0017465159548086646,31,-0.0046540271445159286,-0.008712127402441545,0,178.0,-0.006585768086646904,150,-0.00135691656909457,68,260,39,76.0
4,2,7380.0,0,2,0.0039838362881375105,40,0.010399954063871512,8,-0.02266705745602168,0.02031160491674331,0,180.0,-0.022177226552176247,41,0.009605573380273751,43,124,1,73.0
5,2,6590.0,2,0,-0.001397684414207542,23,0.0021862023775099746,11,-0.00550545376303982,-0.004792311218642389,1,180.0,-0.0013836081813560323,41,0.002128310628255802,33,97,3,74.0
6,2,8124.0,4,0,-0.0014640384315833645,8,-0.00172626735355227,0,-0.045816387090840766,-0.002628364388503313,1,189.0,-0.05711383678648953,8,-0.001384801612756323,8,24,0,80.0
5,2,7535.0,4,0,-0.001485099309542565,1,-0.0015727484241261902,0,-0.04647547725967472,-0.002617585290599233,1,188.0,-0.05203463798171861,0,-0.0014047226319965226,2,3,0,83.0
7,2,7383.0,5,2,0.004065480741721125,25,-0.0016216429847271618,21,0.014229624535751072,0.03143034401822708,1,180.0,0.019269121020579098,34,-0.0013871152748311394,62,121,3,68.0
8,1,8948.0,6,1,0.005284817662539373,8,-0.0013760922025369386,3,-0.02510882060619207,0.002928515093927067,1,179.0,-0.02537022129001679,17,-0.0013693905740991262,25,50,0,70.0
9,0,8350.0,3,0,-0.001501055789115107,8,-0.0021016974950168604,2,-0.02683973451810665,-0.002475115284951134,1,180.0,-0.025946869908906375,16,-0.0014198155135556998,12,36,0,78.0
10,3,5484.0,5,2,0.0013701628236027384,61,0.0053704727786742104,70,0.056157856299240236,0.008661973049481504,0,185.0,0.08683937236826351,93,0.003164635820039577,92,246,25,78.0
3,0,5974.0,3,2,0.001728651244524026,51,-0.001573182823580468,24,-0.005567881670997646,0.024893940049407245,1,188.0,-0.003584512718143981,109,-0.0013361430828970006,48,208,21,75.0
